구분,세대수,전체 인구수(외국인 제외),남자 인구수(외국인 제외),여자 인구수(외국인 제외),데이터기준일자
퇴계동,20164,47273,22659,24614,2024-07-29
석사동,15439,33633,16654,16979,2024-07-29
강남동,11046,25681,12440,13241,2024-07-29
신사우동,11071,25637,12791,12846,2024-07-29
후평3동,9002,19719,9334,10385,2024-07-29
동  면,8124,19083,9399,9684,2024-07-29
동내면,7906,16706,8350,8356,2024-07-29
후평2동,6380,14044,6665,7379,2024-07-29
효자2동,8717,12583,6801,5782,2024-07-29
후평1동,6406,11268,5620,5648,2024-07-29
근화동,4579,9082,4579,4503,2024-07-29
소양동,4226,8952,4331,4621,2024-07-29
신북읍,3684,7207,3626,3581,2024-07-29
약사명동,2451,5464,2673,2791,2024-07-29
효자3동,2898,4443,2250,2193,2024-07-29
효자1동,1936,4110,2059,2051,2024-07-29
교  동,2690,3843,2010,1833,2024-07-29
서  면,1969,3616,1865,1751,2024-07-29
남산면,1950,3294,1715,1579,2024-07-29
조운동,1597,2557,1268,1289,2024-07-29
신동면,1219,2552,1329,1223,2024-07-29
사북면,1403,2397,1200,1197,2024-07-29
동산면,776,1373,749,624,2024-07-29
남  면,660,1065,575,490,2024-07-29
북산면,621,955,539,416,2024-07-29
